order_id,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id,ship_status
1,259,4,01-01-2016,03-01-2016,03-01-2016,1,2,Shipped
2,1212,4,01-01-2016,04-01-2016,03-01-2016,2,6,Shipped
3,523,4,02-01-2016,05-01-2016,03-01-2016,2,7,Shipped
4,175,4,03-01-2016,04-01-2016,05-01-2016,1,3,Shipped
5,1324,4,03-01-2016,06-01-2016,06-01-2016,2,6,Shipped
6,94,4,04-01-2016,07-01-2016,05-01-2016,2,6,Shipped
7,324,4,04-01-2016,07-01-2016,05-01-2016,2,6,Shipped
8,1204,4,04-01-2016,05-01-2016,05-01-2016,2,7,Shipped
9,60,4,05-01-2016,08-01-2016,08-01-2016,1,2,Shipped
10,442,4,05-01-2016,06-01-2016,06-01-2016,2,6,Shipped
11,1326,4,05-01-2016,08-01-2016,07-01-2016,2,7,Shipped
12,91,4,06-01-2016,08-01-2016,09-01-2016,1,2,Shipped
13,873,4,08-01-2016,11-01-2016,11-01-2016,2,6,Shipped
14,258,4,09-01-2016,11-01-2016,12-01-2016,1,3,Shipped
15,450,4,09-01-2016,10-01-2016,12-01-2016,2,7,Shipped
16,552,4,12-01-2016,15-01-2016,15-01-2016,1,3,Shipped
17,1175,4,12-01-2016,14-01-2016,14-01-2016,1,3,Shipped
18,541,4,14-01-2016,17-01-2016,15-01-2016,1,3,Shipped
19,696,4,14-01-2016,17-01-2016,16-01-2016,1,2,Shipped
20,923,4,14-01-2016,16-01-2016,17-01-2016,1,2,Shipped
21,1250,4,15-01-2016,16-01-2016,18-01-2016,2,6,Shipped
22,1035,4,16-01-2016,18-01-2016,17-01-2016,1,2,Shipped
23,1149,4,16-01-2016,19-01-2016,19-01-2016,1,2,Shipped
24,636,4,18-01-2016,20-01-2016,19-01-2016,2,7,Shipped
25,657,4,18-01-2016,21-01-2016,21-01-2016,2,6,Shipped
26,1280,4,18-01-2016,21-01-2016,19-01-2016,2,7,Shipped
27,57,4,19-01-2016,21-01-2016,20-01-2016,2,7,Shipped
28,252,4,19-01-2016,20-01-2016,21-01-2016,2,6,Shipped
29,437,4,20-01-2016,22-01-2016,21-01-2016,2,6,Shipped
30,1348,4,20-01-2016,21-01-2016,21-01-2016,2,6,Shipped
31,1238,4,20-01-2016,22-01-2016,22-01-2016,3,8,Shipped
32,1259,4,21-01-2016,24-01-2016,22-01-2016,1,3,Shipped
33,236,4,21-01-2016,22-01-2016,22-01-2016,2,6,Shipped
34,80,4,22-01-2016,25-01-2016,23-01-2016,2,6,Shipped
35,813,4,22-01-2016,25-01-2016,24-01-2016,2,7,Shipped
36,1321,4,23-01-2016,24-01-2016,24-01-2016,2,6,Shipped
37,164,4,25-01-2016,28-01-2016,26-01-2016,2,6,Shipped
38,583,4,25-01-2016,27-01-2016,26-01-2016,2,7,Shipped
39,1296,4,25-01-2016,26-01-2016,26-01-2016,2,7,Shipped
40,348,4,27-01-2016,28-01-2016,29-01-2016,1,3,Shipped
41,979,4,27-01-2016,30-01-2016,29-01-2016,2,6,Shipped
42,1095,4,27-01-2016,28-01-2016,30-01-2016,2,7,Shipped
43,1434,4,27-01-2016,28-01-2016,30-01-2016,2,7,Shipped
44,861,4,28-01-2016,31-01-2016,30-01-2016,2,7,Shipped
45,1220,4,28-01-2016,31-01-2016,31-01-2016,2,7,Shipped
46,746,4,29-01-2016,31-01-2016,31-01-2016,2,7,Shipped
47,1234,4,29-01-2016,30-01-2016,31-01-2016,2,7,Shipped
48,1012,4,30-01-2016,01-02-2016,02-02-2016,2,7,Shipped
49,608,4,31-01-2016,01-02-2016,02-02-2016,2,6,Shipped
50,872,4,31-01-2016,03-02-2016,02-02-2016,3,8,Shipped
51,1047,4,01-02-2016,02-02-2016,03-02-2016,2,7,Shipped
52,767,4,03-02-2016,04-02-2016,05-02-2016,1,2,Shipped
53,965,4,03-02-2016,04-02-2016,05-02-2016,2,6,Shipped
54,535,4,04-02-2016,07-02-2016,07-02-2016,2,7,Shipped
55,1173,4,04-02-2016,07-02-2016,06-02-2016,2,6,Shipped
56,1241,4,04-02-2016,06-02-2016,07-02-2016,2,6,Shipped
57,1305,4,04-02-2016,06-02-2016,06-02-2016,2,7,Shipped
